Year,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball,Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Sprint,Slalom,Cricket,Croquet,BMX Freestyle,BMX Racing,Mountain Bike,Road,Cycling,Dressage,Eventing,Jumping,Vaulting,Driving,Fencing,Hockey,Flag football,Football,Golf,Gymnastics,Rhythmic,Trampoline,Indoor,Field,Jeu de Paume,Judo,Karate,Sixes,Field,Modern Pentathlon,Polo,Rackets,Roque,Coastal,Rowing,Sevens,Union,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Beach,Volleyball,Water Motorsports,Weightlifting,Freestyle,Greco-Roman,Total events
1896,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0[s3],0,0,0[s3],5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,43
1900,0,0,0,7,1,7,23,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,13,8,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,97
1904,0,2,0,9,1,6,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,7,0,95
1906,0,1,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,4,0,1,0,0,0,0,0,4,76
1908,0,2,0,6,1,3,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1,2,0,0,4,0,1,4,15,0,0,0,0,0,0,6,0,1,0,0,3,0,5,4,106
1912,0,4,0,9,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,18,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,102
1920,0,5,0,10,1,10,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,14,21,0,0,0,0,0,0,5,0,1,0,0,0,5,5,5,152
1924,0,5,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,0,0,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,6,126
1928,0,4,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,109
1932,0,4,0,11,1,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,117
1936,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,129
1948,0,4,0,11,1,0,33,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,136
1952,0,4,0,11,1,0,33,0,0,0,0,1,0,10,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,149
1956,0,4,0,13,1,0,33,0,0,0,0,1,0,10,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,151
1960,0,4,0,15,1,0,34,0,0,0,0,1,0,10,0,7,0,0,0,0,0,0,2,4,1,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,150
1964,0,4,0,18,1,0,36,0,0,0,0,1,0,10,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,4,0,0,0,2,0,0,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,163
1968,0,4,0,29,1,0,36,0,0,0,0,1,0,11,0,7,0,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,7,8,8,172
1972,0,4,0,29,1,2,38,0,0,0,0,1,0,11,0,7,4,0,0,0,0,0,2,5,2,2,2,0,0,8,1,0,1,0,14,0,0,1,0,0,6,0,0,0,2,0,0,0,0,7,0,0,6,8,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,195
1976,0,4,0,26,1,2,37,0,0,0,0,2,0,11,0,11,0,0,0,0,0,0,2,4,2,2,2,0,0,8,1,0,1,0,14,0,0,2,0,0,6,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,9,10,10,198
1980,0,4,0,26,1,2,38,0,0,0,0,2,0,11,0,11,0,0,0,0,0,0,2,4,2,2,2,0,0,8,2,0,1,0,14,0,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,10,10,10,203
1984,2,4,0,29,1,2,41,0,0,0,0,2,0,12,0,12,0,0,0,0,0,0,3,5,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,7,11,0,0,0,0,0,0,0,0,0,0,2,0,10,10,10,221
1988,2,4,0,31,1,4,42,0,0,0,0,2,0,12,0,12,0,0,0,0,0,0,3,6,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,7,0,0,0,2,0,0,0,0,14,0,0,8,13,0,0,0,0,4,0,4,0,0,0,2,0,10,10,10,237
1992,2,4,0,31,1,4,43,4,1,0,0,2,0,12,0,12,4,0,0,0,0,0,3,7,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,13,0,0,0,0,4,0,4,0,0,0,2,0,10,10,10,257
1996,1,4,0,32,1,4,44,5,1,1,0,2,0,12,0,12,4,0,0,0,0,2,4,8,2,2,2,0,0,10,2,0,2,0,14,2,0,2,0,0,14,0,0,0,1,0,0,0,0,14,0,0,10,15,0,0,0,0,4,0,4,0,0,2,2,0,10,10,10,271
2000,2,8,0,32,2,4,46,5,1,1,0,2,0,12,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,4,2,0,2,2,0,15,8,8,300
2004,2,8,0,32,2,4,46,5,1,1,0,2,0,11,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,4,2,0,2,2,0,15,11,7,301
2008,2,8,2,32,2,4,47,5,1,1,0,2,0,11,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,15,0,0,0,0,4,8,4,2,0,2,2,0,15,11,7,302
2012,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,302
2016,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,2,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,2,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,12,6,306
2020,2,8,2,35,2,5,48,5,1,1,2,2,0,13,0,12,4,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,8,0,0,2,0,0,0,0,14,2,0,10,15,4,2,0,2,5,8,5,3,0,2,2,0,14,12,6,339
2024,2,8,2,35,2,5,48,5,0,0,2,2,0,13,2,10,6,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,0,0,0,2,0,0,0,0,14,2,0,10,15,4,4,0,2,5,8,5,3,0,2,2,0,10,12,6,329
